Filenumber    Filename    Done by
S01ahovcs_u    Ahorātravratacaityasevānuśaṃsāvadāna
GE09ram_02_u    Valmiki: Ramayana
GE09ram_02su    Valmiki: Ramayana:
GE09ram_03_u    Valmiki: Ramayana
GE09ram_03pu    Valmiki: Ramayana
GE09ram_04_u    Valmiki: Ramayana
GE09ram_05_u    Valmiki: Ramayana
GE09ram_06_u    Valmiki: Ramayana
GE09ram_07_u    Valmiki: Ramayana
GP10bhp_01u    Bhagavata-Purana 1
GP10bhp_02u    Bhagavata-Purana 2
GP10bhp_03u    Bhagavata-Purana 3
GP10bhp_04u    Bhagavata-Purana 4
GP10bhp_05u    Bhagavata-Purana 5
GP10bhp_06u    Bhagavata-Purana 6
GP10bhp_07u    Bhagavata-Purana 7
GP10bhp_08u    Bhagavata-Purana 8
GP10bhp_09u    Bhagavata-Purana 9
GP10bhp_10u    Bhagavata-Purana 10
GP10bhp_11u    Bhagavata-Purana 11
GP10bhp_12u    Bhagavata-Purana 12
GP10bhpc101u    Bhagavata-Purana 10,29–33
GP11brahmppu    Brahma-Purana
GP12agp_bi_u    Agni-Purana
GP12brndp1_u    Brahmanda-Purana 1
GP12brndp2_u    Brahmanda-Purana 2
GP12brndp3_u    Brahmanda-Purana 3
GP12dbhp_dgu    Devigita
GP12garup1_u    Garuda-Purana 1
GP12garup2_u    Garuda-Purana 2
GP12garup3_u    Garuda-Purana 3
GP12kurmp1_u    Kurma-Purana 1
GP12kurmp2_u    Kurma-Purana 2
GP12lip_1_pu    Linga-Purana 1
GP12lip_2__u    Linga-Purana 2,1–55
GP12mkp1-93u    Markandeya-Purana
GP12mtp176pu    Matsyapurana
GP12nardp1_u    Narada-Purana
GP12nardp2_u    Narada-Purana
GP12narsippu    Narasimha-Purana
GP12sivap1_u    Siva-Purana
GP12sivap7_u    Siva-Purana
GP12skp031pu    Skandapurana
GP12skprevku    Skanda-Purana: Revakhanda
GP12vamp__u    Vamana-Purana
GP12vampsm_u    Vamana-Purana
GP12vd2127_u    Visnudharmottara-Purana
GP12vd3343pu    Visnudharmottara-Purana
GP12vipce_pu    Visnu-Purana
GP12visnup_u    Visnu-Purana
GP12vprevk_u    Revakhanda of the Vayupurana
GR12hsasvrpu    Haribhadrasuri: Sastravartasamuccaya
GR13bhnstcpu    Bhatta Narayana: Stavacintamani
GR13bijnighu    Bijanighantu
GR13cakbh_pu    Cakrapaninatha: Bhavopaharastotra
GR13cakbhavu    Cakrapaninatha: Bhavopaharastotra
GR13devikapu    Devikalottara-Agama
GR13goramaru    Goraksanatha: Amaraughasasana
GR13gorst1pu    Goraksanatha
GR13gorst2pu    Goraksanatha [= Gorakhnath]: Goraksasataka
GR13jssivppu    Jnanasambhu: Sivapujastava
GR13kalhans_u    Kalhana: Ardhanarisvarastotra
GR13karatopu    Karatoyamahatmya
GR13kirtc_pu    Kiranatantra
GR13kirtm_pu    Kiranatantra
GR13kubjt_pu    Kubjikamatatantra
GR13mabhedtu    Matrkabhedatantra
GR13malinivu    Malinivijayottaratantra
GR13mrgt1mpu    Mrgendragama
GR13mrgt3mpu    Mrgendragama
GR13mrgt4mpu    Mrgendragama
GR13parakspu    Parasurama-Kalpasutra
GR13pasupbhu    Pasupatasutra
GR13pasupspu    Pasupatasutra
GR13purekaku    Purusottamadeva: Ekaksarakosa
GR13saulahpu    Samkara: Saundaryalahari
GR13sivmstpu    Sivamahimnastava
GR13sivsutru    Sivasutra
GR13sivup_pu    Siva-Upanisad
GR13somsv_u    Somananda: Saktavijnana
GR13sratrppu    Srikantha: Ratnatrayapariksa
GR13stkal_pu    Sardhatrisatikalottaragama
GR13svact_pu    Svacchandatantra [Svacchandabhairavatantra]
GR13todaltpu    Todalatantra
GR13uddamt_u    Uddamaresvaratantra
GR13utsivsau    Utpaladeva: Sivastotravali
GR13vinst_pu    Vinasikhatantra
GR14astavgpu    Astavakragita
GR14bhrgus_u    Bhrgu-Samhita
GR14brhms5cu    Brahma-Samhita: Adhyaya 5
GR14caitcanu    Prabodhananda Sarasvati Gosvami: Caitanyacandramrta
GR14dhyggs_u    Dhyanacandra Gosvami: Gauragovindarcanasmaranapaddhati
GR14dhyrkk_u    Dhyanacandra Gosvami: Radhakrsnastakaliyalilasmaranakramapaddhati
GR14harinc_u    Datta, Kedaranatha
GR14hbhvil_u    Gopalabhatta: Haribhaktivilasa 1–11
GR14jivrkadu    Jiva Gosvamin: Radhakrsnarcanadipika
GR14jnass01u    Jnanamrtasara-Samhita
GR14kbss_1-u    Krsnadasa: Bhavanasarasamgraha
GR14krdipc_u    Kesava Kasmiri: Kramadipika
GR14kumukumu    Kulasekhara: Mukundamala
GR14laghbh_u    Rupa Gosvami: Laghubhagavatamrta
GR14mdhvkmou    Madhva
GR14muktacau    Raghunathadasa Gosvami: Muktacarita
GR14prakassu    Prakasa-Samhita
GR14ps27-43u    Pauskara-Samhita
GR14ruphbr_u    Rupa Gosvamin: Haribhaktirasamrtasindhu
GR14sadhdipu    Radhakrsnadasa Gosvami: Sadhanadipika
GR14satvtanu    Satvatatantra
GR14sdahen_u    Srinivasamakhi Vedantadesika: Dasavidhahetunirupana
GR14ss1_tatu    Jiva Gosvami: Satsamdarbha
GR14ss2_bhgu    Jiva Gosvami: Satsamdarbha
GR14ss3_paru    Jiva Gosvami: Satsamdarbha
GR14ss4_krsu    Jiva Gosvami: Satsamdarbha
GR14ss5_bhku    Jiva Gosvami: Satsamdarbha
GR14ss6_priu    Jiva Gosvami: Satsamdarbha
GR14utajp_pu    Utpaladeva: Ajadapramatrsiddhi
GR14vaimp__u    Vaikhanasamantraprasna
GR14vdhapadu    Visnudharmah
GR14visvaksu    Visvaksenasamhita
GR14yamcatpu    Yamuna: Catuhsloki
GR14yamsr_pu    Yamuna: Stotraratna
GK16andhvc1u    Anandavardhana: Dhvanyaloka, Uddyota 1
GK16andhvc2u    Anandavardhana: Dhvanyaloka, Uddyota 2
GK16andhvc3u    Anandavardhana: Dhvanyaloka, Uddyota 3
GK16andhvc4u    Anandavardhana: Dhvanyaloka, Uddyota 4
GK16andhvy_u    Anandavardhana: Dhvanyaloka
GK16bhakavpu    Bhamaha: Kavyalamkara
GK16dkavy12u    Dandin: Kavyadarsa
GK16dkavy1pu    Dandin: Kavyadarsa
GK16dkavy2pu    Dandin: Kavyadarsa
GK16dkavy3_u    Dandin: Kavyadarsa
GK16jaycndpu    Jayadeva
GK16jgrasg1u    Jagannatha Panditaraja: Rasagangadhara
GK16kunvjivu    Kuntaka: Vakroktijivita
GK16mamkavpu    Mammata: Kavyaprakasa
GK16mamkpb_u    Mammata: Kavyaprakasa
GK16mamkprku    Mammata: Kavyaprakasa
GK16msabdvvu    Mammata: Sabdavyaparavicara
GK16rajkmimu    Rajasekhara: Kavyamimamsa
GK16rnatc__u    Rupa Gosvami: Natakacandrika
GK16ruyalscu    Ruyyaka: Alamkarasarvasva
GK16ruyalssu    Ruyyaka: Alamkarasarvasva
GK16ruyalsvu    Ruyyaka: Alamkarasarvasva
GK16ruvyavivya_pu    Ruyyaka: Vyaktivivekavyakhya
GK16simhrs_u    Simhabhupala: Rasarnavasudhakara
GK16simhrsku    Simhabhupala: Rasarnavasudhakara
GK16udkass_u    Udbhata: Kavyalamkarasarasamgraha
GK16udkassku    Udbhata: Kavyalamkarasarasamgraha
GK16ujjvni_u    Rupa Gosvamin: Ujjvalanilamani
GK16vamkalsu    Vamana: Kavyalamkara
GK16vamkalvu    Vamana: Kavyalamkarasutra
GK16vcamkc_u    Visvesvara Kavicandra: Camatkaracandrika
GK16viprud_u    Vidyanatha: Prataparudriya
GK16visa01cu    Visvanatha
GK16visa02cu    Visvanatha
GK16visa03cu    Visvanatha
GK16visa04cu    Visvanatha
GK16visa05cu    Visvanatha
GK16visa06cu    Visvanatha
GK16visa07cu    Visvanatha
GK16visa08cu    Visvanatha
GK16visa09cu    Visvanatha
GK16visa10cu    Visvanatha
GK16visah__u    Visvanatha
GK16visvsdpu    Visvanatha
GK17chandovu    Chandoviciti
GK17jvrtmspu    Jnanasrimitra: Vrttamalastuti
GK17kedvratu    Kedarabhatta: Vrttaratnakara
GK17kvrtrsuu    Kedarabhatta: Vrttaratnakara
GK18bharnatu    Bharata: Natyasastra
GK18dhandasu    Dhananjaya: Dasarupaka
GK19aghatkvu    Ghatakarparakavya
GK19akadambu    Abhinanda: Kadambarikathasara
GK19amaru_u    Amaru: Amarusataka
GK19anvallcu    Anandabhatta: Vallalacarita
GK19appvairu    Appayadiksita: Vairagyasataka
GK19asvbc_1u    Asvaghosa: Buddhacarita
GK19asvbuc2u    Asvaghosa: Buddhacarita
GK19asvsau2u    Asvaghosa: Saundarananda
GK19asvsaunu    Asvaghosa: Saundarananda
GK19bahcar1u    Bana: Harsacarita
GK19bahcar2u    Bana: Harsacarita
GK19bahcar3u    Bana: Harsacarita
GK19bahcar4u    Bana: Harsacarita
GK19bahcar5_pu    Bana: Harsacarita
GK19bahcar6u    Bana: Harsacarita
GK19bahcar7u    Bana: Harsacarita
GK19bahcar8u    Bana: Harsacarita
GK19bahcarpu    Bana: Harsacarita
GK19bankad1u    Bana: Kadambari
GK19bhakirpu    Bharavi: Kiratarjuniya
GK19bhall_pu    Bhallata: Bhallatasataka
GK19bhattiku    Bhatti: Ravanavadha
GK19bicauppu    Bilhana: Caurapancasika
GK19damkuttu    Damodaragupta: Kuttanimata
GK19danddk1u    Dandin: Dasakumaracarita
GK19dandkc_u    Dandin: Dasakumaracarita
GK19dhoypavu    Dhoyi: Pavanaduta
GK19ghatgu_u    Kusalamisra: Gudharthadipika
GK19govass_u    Govardhana: Aryasaptasati
GK19gp01-11u    Jiva Gosvamin: Gopalacampu
GK19gp12-22u    Jiva Gosvamin: Gopalacampu
GK19gp23-33u    Jiva Gosvamin: Gopalacampu
GK19gu01-03u    Jiva Gosvami: Gopalacampu
GK19gu05-06u    Jiva Gosvamin: Gopalacampu
GK19gu29___u    Jiva Gosvami: Gopalacampu
GK19jagpranu    Jagannatha: Pranabharana
GK19jagsudhu    Jagannatha: Sudhalahari
GK19jalmugpu    Jalhana: Mugdhopadesa
GK19jaygit1u    Jayadeva: Gitagovinda-kavya
GK19jaygit2u    Jayadeva: Gitagovinda
GK19jivskd_u    Jiva Gosvamin: Samkalpakalpadruma
GK19kakumspu    Kalidasa: Kumarasambhava
GK19kalrs_pu    Kalidasa: Rtusamhara
GK19kmeghdpu    Kalidasa: Meghaduta
GK19kmeghvpu    Kalidasa: Meghaduta
GK19meghdk_u    Kalidasa: Meghaduta
GK19kragh_pu    Kalidasa: Raghuvamsa
GK19ksbhm06u    Ksemendra: Bharatamanjari
GK19ksbhm07u    Ksemendra: Bharatamanjari
GK19ksbhm08u    Ksemendra: Bharatamanjari
GK19ksbhm09u    Ksemendra: Bharatamanjari
GK19ksbhm10u    Ksemendra: Bharatamanjari
GK19ksbhm11u    Ksemendra: Bharatamanjari
GK19ksbhm12u    Ksemendra: Bharatamanjari
GK19ksbhm13u    Ksemendra: Bharatamanjari
GK19ksbhm14u    Ksemendra: Bharatamanjari
GK19ksbhm15u    Ksemendra: Bharatamanjari
GK19ksbhm16u    Ksemendra: Bharatamanjari
GK19ksbhm17u    Ksemendra: Bharatamanjari
GK19ksbhm18u    Ksemendra: Bharatamanjari
GK19ksbhm19u    Ksemendra: Bharatamanjari
GK19kskala_u    Ksemendra: Kalavilasa
GK19ksyadndu    Kalidasa: Syamaladandaka
GK19kulmukuu    Kulasekhara: Mukundamala
GK19lnksivsu    Lankesvara: Sivastuti
GK19maghspvu    Magha: Sisupalavadha
GK19nkalivpu    Nilakantha Diksita: Kalividambana
GK19padnscpu    Padmagupta
GK19padyavlu    Rupa Gosvami: Padyavali
GK19ruphamdu    Rupa Gosvami: Hamsaduta
GK19raggancu    Raghavacaitanya: Mahaganapatistotra
GK19ragh1-6u    Kalidasa: Raghuvamsa
GK19ramodtpu    Ramodanta
GK19srngt_pu    Rudrabhatta: Srngaratilaka
GK19suvasavu    Subandhu: Vasavadatta
GK19uddkokpu    Uddanda: Kokilasamdesa
GK20bhasdutu    Bhasa: Dutavakya
GK20bhassv_u    Bhasa: Svapnavasavadatta
GK20bhveni_u    Bhattanarayana: Venisamhara
GK20dramfrag_pu    Dramatic Fragments
GK20harnagau    Harsadeva: Naganandanataka
GK20hdratn_u    Harsadeva: Ratnavalinatika
GK20hpriydpu    Harsadeva: Priyadarsika
GK20ksakunpu    Kalidasa: Abhijnanasakuntalam
GK20mmatvipu    Mahendravarman I: Mattavilasaprahasana
GK20rmc1-3pu    Abhinanda: Ramacaritamahakavya 1–3
GK20ruysahlu    Ruyyaka: Sahrdayalila
GK20sypadatu    Udicya Syamilaka: Padataditaka
GK21brkas_pu    Buddhasvamin: Brhatkathaslokasamgraha
GK21hitop_u    Narayana: Hitopadesa
GK21sokss_pu    Somadeva: Kathasaritsagara
GK21soksvppu    Somadeva: Kathasaritsagara
GK21suksaptu    Sukasaptati
GK21ttrkhy1u    Tantrākhyāyika 1
GK21ttrkhy2u    Tantrākhyāyika 2
GK22bharst_u    Bhartrhari: Satakatraya
GK22ksdarppu    Ksemendra: Darpadalana
GK22msubhs_u    Mahasubhashitasangraha
GK22valsubhu    Vallabhadeva: Subhasitavali
GK22vidsrgpu    Vidyakara: Subhasitaratnakosa
GK22vidsripu    Vidyakara: Subhasitaratnakosa
GK22vispancu    Visnusarma: Pancatantra
GK23jonart_pu    Jonaraja and Pseudo-Jonaraja: Rajatarangini
GK23kaulpradsam_u    Govind Kaul: Pradesasamgraha
GS24jvkasipu    Jayaditya & Vamana: Kasikavrtti
GS24panini_u    Panini: Astadhyayi
GS24paninipu    Panini: Astadhyayi
GS24paribhsu    Nagesa [=Nagojibhatta]: Paribhasendusekhara
GS24pmbhasuu    Patanjali: Vyakaranamahabhasya
GS24samanv_u    Kuḍaka's Samanvayadiś
GS24vakyp1pu    Bhartrhari: Vakyapadiya
GS24vakyp_pu    Bhartrhari: Vakyapadiya 1–3,7
GS24varlghku    Varadaraja: Laghusiddhantakaumudi
GS25amark1pu    Amarasimha: Namalinganusasana [Amarakosa]
GS25amark2_u    Amarasimha: Namalinganusasana [Amarakosa]
GS25amark3_u    Amarasimha: Namalinganusasana [Amarakosa]
GS26jaytuppu    Jayarasi: Tattvopaplavasimha
GS26sarvmtsu    Sarvamatasamgraha
GS26sbhami_u    Samantabhadra: Aptamimamsa
GSP27moksop_u    Mokṣopāya
GSP27motik_1u    Mokṣopāya
GSP27motik_2u    Mokṣopāya
GSP27motik_3u    Mokṣopāya
GSP27motik_4u    Mokṣopāya
GSP28dhebta_u    Durveka Misra: Hetubindutikaloka
GSP28durdhpru    Durvekamisra: Dharmottarapradipa
GSP28jaimsutu    Jaimini: Mimamsasutra
GSP28jsbh1-1u    Khandadeva: Bhattadipika
GSP28jsbh1-2u    Khandadeva: Bhattadipika
GSP28jsbh1-3u    Khandadeva: Bhattadipika
GSP28jsbh1-4u    Khandadeva: Bhattadipika
GSP28jsbh2-1u    Khandadeva: Bhattadipika
GSP28jsbh2-2u    Khandadeva: Bhattadipika
GSP28jsbh2-3u    Khandadeva: Bhattadipika
GSP28jsbh2-4u    Khandadeva: Bhattadipika
GSP28jsbh3-1u    Khandadeva: Bhattadipika
GSP28jsbh3-2u    Khandadeva: Bhattadipika
GSP28jsbh3-3u    Khandadeva: Bhattadipika
GSP28ktv_2-1u    Kumarila: Tantravarttika 2.1.1–4
GSP28mimslovu    Kumarila Bhatta: Mimamsaslokavarttika
GSP28mimsvtku    Sucaritamisra: Mimamsaslokavarttikakasika
GSP28mjnya01u    Madhava: Jaiminiyanyayamalavistara
GSP28mjnya02u    Madhava: Jaiminiyanyayamalavistara
GSP28mjnya03u    Madhava: Jaiminiyanyayamalavistara
GSP28mjnya04u    Madhava: Jaiminiyanyayamalavistara
GSP28msbh1-7u    Jaimini: Mimamsasutra
GSP28prakp01u    Salikanathamisra: Prakaranapancika
GSP28prakp02u    Salikanathamisra: Prakaranapancika
GSP28prakp03u    Salikanathamisra: Prakaranapancika
GSP28prakp04u    Salikanathamisra: Prakaranapancika
GSP28prakp05u    Salikanathamisra: Prakaranapancika
GSP28prakp06u    Salikanathamisra: Prakaranapancika
GSP28prakp07u    Salikanathamisra: Prakaranapancika
GSP28prakp08u    Salikanathamisra: Prakaranapancika
GSP28prakp09u    Salikanathamisra: Prakaranapancika
GSP28prakp10u    Salikanathamisra: Prakaranapancika
GSP28prakp11u    Salikanathamisra: Prakaranapancika
GSP28prakp12u    Salikanathamisra: Prakaranapancika
GSP28prakp13u    Salikanathamisra: Prakaranapancika
GSP28prakp14u    Salikanathamisra: Prakaranapancika
GSP28sabbha1u    Sabara: Mimamsasutrabhasya
GSP28sastrdiu    Parthasarathi Misra: Sastradipika
GSP29antarkpu    Annambhatta: Tarkasamgraha
GSP29antsdi_u    Annambhatta: Tarkasamgraha
GSP29gangtciu    Gangesa: Tattvacintamani
GSP29gaunys_u    Gautama: Nyayasutra
GSP29nystik_u    Gautama: Nyayasutra
GSP29nysu51pu    Gautama: Nyayasutra 5.1
GSP29nysvbh1u    Gautama: Nyayasutra
GSP29nysvbh_u    Gautama: Nyayasutra
GSP29nvtp1_1u    Udayana: Nyayavarttikatatparyaparisuddhi
GSP29nvtp1_2u    Udayana: Nyayavarttikatatparyaparisuddhi
GSP29snyayvpu    Siddhasena Mahamati: Nyayavatara
GSP29udnyku1u    Udayana: Nyayakusumanjali
GSP29udnyku2u    Udayana: Nyayakusumanjali
GSP29udnyku3u    Udayana: Nyayakusumanjali
GSP29udnyku4u    Udayana: Nyayakusumanjali
GSP29udnyku5u    Udayana: Nyayakusumanjali
GSP29vnyps00u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps11u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps12u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps31u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps32u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps41u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps42u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps51u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vnyps52u    Venkatanatha [Vedantadesika]: Nyayaparisuddhi
GSP29vytrkt1u    Vyasatirtha: Tarkatandava
GSP29vytrkt2u    Vyasatirtha: Tarkatandava
GSP29vytrkt3u    Vyasatirtha: Tarkatandava
GSP30abhiprvu    Abhinavagupta: Isvarapratyabhijnavimarsini
GSP30abhmal1u    Abhinavagupta: Malinislokavarttika
GSP30abhmal2u    Abhinavagupta: Malinislokavarttika
GSP30abhtantu    Abhinavagupta: Tantrasara
GSP30adyapppu    Adyanatha: Anuttaraprakasapancasika
GSP30anuttaru    Abhinavagupta: Anuttarastika
GSP30aparmyou    Abhinavagupta: Paramarthasara
GSP30bhairstu    Abhinavagupta: Bhairavastava
GSP30bhutisbs_u    Bhuti(raja): Svabodhasiddhi
GSP30bodhpanu    Abhinavagupta: Bodhapancadasika
GSP30kramstou    Abhinavagupta: Kramastotra
GSP30ksembodhv_u    Ksemaraja: Bodhavilasa
GSP30parmartu    Abhinavagupta: Paramarthasara
GSP30partr_pu    Paratrimsika
GSP30partrvpu    Abhinavagupta: Paratrimsikavivarana
GSP30parypanu    Abhinavagupta: Paryantapancasika
GSP30pratyabu    Ksemaraja: Pratyabhijnahrdaya
GSP30spandkau    Vasugupta: Spandakarika
GSP30tantralu    Abhinavagupta: Tantraloka
GSP30timudghu    Timirodghāṭana
GSP30utipk_pu    Utpaladeva: Isvarapratyabhijnakarika
GSP30vamjanmu    Vamadeva: Janmamaranavicara
GSP30vamsbum_u    Vamanadatta: Svabodhodayamanjari
GSP30vasspacu    Vasugupta [or Kallata Bhatta?]: Spandakrika
GSP30vatnsupu    Vatulanatha: Vatulanathasutra
GSP30vijnbhau    Vijnanabhairava
GSP31bhgank_u    Bhasarvajna: Ganakarika 1
GSP31iskamatu    Isvarakrsna: Samkhyakarika
GSP31iskar_u    Isvarakrsna: Samkhyakarika
GSP31iskgaudu    Isvarakrsna: Samkhyakarika
GSP31isvskaru    Isvarakrsna: Samkhyakarika
GSP31jaymangu    Isvarakrsna: Samkhyakarika
GSP31kavsttvu    Kavirajayati
GSP31kestprau    Kesava: Samkhyatattvapradipika
GSP31samkhsuu    Kapila: Samkhyasutra
GSP31sparibhu    Samkhyaparibhasa
GSP31tatsuvru    Tattvasamasasutravrtti
GSP31tattvmiu    Tattvamimamsa
GSP31tsc_bhau    Bhavaganesa [Ganesadiksita]: Tattvayatharthyadipana
GSP31tsc_simu    Simanandadiksita
GSP31tsc_vivu    Samkhyasutravivarana
GSP31ttssarvu    Sarvopakarani
GSP31tttvsamu    Tattvasamasa
GSP31vijsamsu    Vijnanabhiksu: Samkhyasara
GSP31yuktdipu    Yuktidipika
GSP32paddhs_u    Prasastapada: Padarthadharmasamgraha
GSP32vaisessu    Kanada: Vaisesikasutra
GSP32vaissu1u    Kanada: Vaisesikasutra
GSP32vvmanmhu    Vadivagisvara: Manamanohara
GSP33bbdip11u    Badarayana: Brahmsutra
GSP33bbdip12u    Badarayana: Brahmsutra
GSP33bbdip13u    Badarayana: Brahmsutra
GSP33brahms2u    Badarayana: Brahmasutra
GSP33brahmsuu    Badarayana: Brahmasutra
GSP33brsgor1u    Badarayana: Brahmasutra
GSP33brsgor2u    Badarayana: Brahmasutra
GSP33brsgor3u    Badarayana: Brahmasutra
GSP33brsgor4u    Badarayana: Brahmasutra
GSP33brssbh1u    Badarayana: Brahmasutra
GSP33brssbh2u    Badarayana: Brahmasutra
GSP33brssbh3u    Badarayana: Brahmasutra
GSP33brssbh4u    Badarayana: Brahmasutra
GSP33brssgo1u    Badarayana: Brahmasutra
GSP33brssgo2u    Badarayana: Brahmasutra
GSP33brssgo3u    Badarayana: Brahmasutra
GSP33brssgo4u    Badarayana: Brahmasutra
GSP33brsvbh1u    Badarayana: Brahmasutra
GSP33brsvbh2u    Badarayana: Brahmasutra
GSP33brsvbh3u    Badarayana: Brahmasutra
GSP33brsvbh4u    Badarayana: Brahmasutra
GSP33bhbhg_cu    Bhaskara: Bhagavadasayanusaranabhasya
GSP33bhgsbh_u    Samkara: Bhagavadgitabhasya
GSP33gaukarpu    Gaudapada: Agamasastra
GSP33m_mbhtnu    Madhva Anandatirtha: Mahabharatatatparyanirnaya
GSP33madhanuu    Madhva Anandatirtha: Anuvyakhyana
GSP33madhsiddhb_u    Madhusudanasarasvati: Siddhantabindu
GSP33mbrahsiu    Mandanamisra: Brahmasiddhi
GSP33mndvivpu    Mandanamisra: Vibhramaviveka
GSP33nabodhsu    Narahari: Bodhasara
GSP33nysu__1u    Jayatirtha: Nyayasudha
GSP33nysu__2u    Jayatirtha: Nyayasudha
GSP33nysu__3u    Jayatirtha: Nyayasudha
GSP33nysu__4u    Jayatirtha: Nyayasudha
GSP33ramgbhpu    Ramanuja: Bhagavadgitabhasya
GSP33rams11pu    Ramanuja: Sribhsya 1,1.3
GSP33ramvaspu    Ramanuja: Vedarthasamgraha
GSP33samkaubh_u    Samkara: Kathopanisadbhasya
GSP33samkupad_u    Samkara: Upadesasahasri
GSP33vivcud_u    Samkara: Vivekacudamani
GSP33vacbhamu    Vacaspati: Bhamati
GSP33yaatsi_u    Yamuna: Siddhitraya
GSP33yaissi_u    Yamuna: Siddhitraya
GSP33yasasi_u    Yamuna: Siddhitraya
GSP33yamgaspu    Yamuna: Gitarthasangraha
GSP33yamis_pu    Yamuna: Isvarasiddhi
GSP33yamss_pu    Yamuna: Samvitsiddhi
GSP33yamsvspu    Yamunacarya: Samvitsiddhi
GSP34ghers_pu    Gheranda-Samhita
GSP34hathyopu    Svatmarama: Hathayogapradipika
GSP34patyog_u    Patanjali: Yogasutra
GSP34patyogbu    Patanjali: Yogasutra
GSP34yogasutu    Patanjali: Yogasutra
GSP34yogsubhu    Patanjali: Yogasutra
GSD36angirspu    Angirasasmrti
GSD36brhasp_u    Brhaspatismrti
GSD36brhasppu    Brhaspatismrti: Vyavaharakanda
GSD36katy2p_u    Katyayanasmrti
GSD36manu2p_u    Manusmrti
GSD36mvir_sau    Mitramisra: Viramitrodaya
GSD36narads_u    Naradasmrti
GSD36nars2_pu    Naradasmrti
GSD36pars1__u    Parasarasmrti
GSD36pars2_pu    Parasaradharmasamhita
GSD36visnu_pu    Visnusmrti
GSD36yajn2_pu    Yajnavalkyasmrti
GSD36ys-78_pu    Yamasmrti
GSD36yssoutpu    Yamasmrti
GSD36ys-99_pu    Laghuyamasmrti
GSD36ys182_pu    Brhadyamasmrti
GSD37apastd_u    Apastamba-Dharmasutra
GSD37baudhd_u    Baudhayana-Dharmasutra
GSD37gautdh_u    Gautama-Dharmasutra
GSD37gautdhcu    Gautama: Dharmasutra
GSD37vaikhd_u    Vaikhaanasa Dharmasuutra 1–3
GSD37vasist_u    Vasistadharmasutra
GS38kautil_u    Kautilya: Arthasastra
GS39jyopancu    Jyotirisvara Kavisekhara: Pancasayaka
GS39kamasufu    Vatsyayana: Kamasutra
GS39kamasutu    Vatsyayana: Kamasutram
GS39minsmaru    Minanatha: Smaradipika
GS39purukadu    Pururavas: Kadambarisvikaranasutramanjari
GS40anandk_u    Anandakanda
GS40bhavpr_u    Bhavamisra: Bhavaprakasa
GS40caraka_u    Agnivesa: Carakasamhita
GS40dhrasciu    Dhundhukanatha: Rasendracintamani
GS40grasht_u    Govindbhagavatpada: Rasahrdayatantra
GS40nitrrk_u    Nityanathasiddha [alias Nemanatha]: Rasaratnakara
GS40rajnighu    Narahari Pandita [Nrsimha]: Rajanighantu
GS40rasadh_u    Rasadhyaya
GS40rasadhpu    Rasadhyaya
GS40rasarnpu    Rasarnava
GS40rascum_u    Somadeva: Rasendracudamani
GS40rassanku    Camunda
GS40salrasmu    Salinatha: Rasamanjari
GS40samapviu    Susena: Ayurvedamahodadhau Annapanavidhi
GS40vagaah_u    Vagbhata: Astangahrdayasutra
GS40vanighpu    Vahata: Astanganighantu
GS40vrasrs_u    Vagbhata: Rasaratnasamuccaya
GS40vrasrscu    Vagbhata: Rasaratnasamuccaya
GS40yogasatu    Yogasataka
GS40yrasprpu    Yasodhara: Rasaprakasasudhakara
GS41aryabh_u    Aryabhatiya
GS41aryabhcu    Aryabhatiya
GS41bijaganu    Bhaskara: Bijaganita
GS41brhajj_u    Varahamihira: Brhajjataka
GS41brhats_u    Varahamihira: Brhatsamhita
GS41brsphutu    Brahmagupta: Brahmasphutasiddhanta
GS41lagrvvju    Lagadha: Rgvedavedangajyotisa
GS41lilavatu    Bhaskara: Lilavati
GS41surysidu    Suryasiddhanta
GS41tikaniku    Varahamihira: Tikanikayatra
GS41vivahapu    Varahamihira: Vivahapatalam
GS41yogay1_u    Varahamihira: Yogayatra
GS41yogay2_u    Varahamihira: Yogayatra
OTsktexcerptsjb_pu    Sanskrit portions of Javano-Balinese texts    Vimala

